id_num,id,state,lastLocationUpdate,lastStateChange,batteryLevel,lat,lng,zoneId,code,licencePlate,isRentable,max_lev,geometry
6640,2daeeff0-6a30-470a-893d-a4c1d84543b3,ACTIVE,2020-06-11 22:23:22+00:00,2020-06-07 19:52:03+00:00,42.0,49.378848,8.67122,HEIDELBERG,123134,425WSD,1,20.0,POINT (8.67122 49.378848)
6641,feb9d384-21e0-4575-905a-04dd348d5f9b,ACTIVE,2020-06-11 22:27:44+00:00,2020-06-08 19:52:20+00:00,57.0,49.484832,8.470945,MANNHEIM-LUDWIGSHAFEN,113867,251WSD,1,20.0,POINT (8.470945 49.484832)
6642,55ca30cf-2789-46f5-a282-9dae69798c42,ACTIVE,2020-06-11 22:23:39+00:00,2020-06-11 19:52:16+00:00,25.0,49.484237,8.474105,MANNHEIM-LUDWIGSHAFEN,118686,732WUI,1,20.0,POINT (8.474105 49.484237)
6643,661eb628-791b-40ab-9934-550527209c0a,ACTIVE,2020-06-11 22:25:43+00:00,2020-06-04 19:52:56+00:00,28.0,49.485101,8.475484,MANNHEIM-LUDWIGSHAFEN,119192,114WUI,1,20.0,POINT (8.475484 49.485101)
6644,1c09cdcf-d0be-4841-b97d-aba1149919e2,ACTIVE,2020-06-11 22:28:52+00:00,2020-06-10 19:52:40+00:00,95.0,49.472871,8.47443,MANNHEIM-LUDWIGSHAFEN,121371,953WUI,1,20.0,POINT (8.47443 49.472871)
6645,ad6f239e-b4c2-4b5d-827d-3730731c2c64,ACTIVE,2020-06-11 22:21:35+00:00,2020-06-10 19:52:40+00:00,96.0,49.472802,8.474329,MANNHEIM-LUDWIGSHAFEN,124909,694WSD,1,20.0,POINT (8.474328999999999 49.472802)
6646,08373c1a-f0d6-4791-862c-aac3f614d3f4,ACTIVE,2020-06-11 22:23:31+00:00,2020-06-10 19:52:40+00:00,50.0,49.473877,8.46883,MANNHEIM-LUDWIGSHAFEN,116404,652WSD,1,20.0,POINT (8.468830000000001 49.473877)
6647,15e69c95-f4a3-4a38-807a-fc7bd3e630ed,ACTIVE,2020-06-11 22:26:08+00:00,2020-06-11 19:52:16+00:00,73.0,49.47422,8.541258,MANNHEIM-LUDWIGSHAFEN,124100,802WSE,1,20.0,POINT (8.541257999999999 49.47422)
6648,fad55f80-11bc-4067-8f6b-9bd9b2a163ba,ACTIVE,2020-06-11 22:27:59+00:00,2020-06-09 20:51:31+00:00,51.0,49.425953,8.680769,HEIDELBERG,123807,548WVI,1,20.0,POINT (8.680769 49.425953)
6649,831fcd3a-cb62-42d9-9d54-9e7d1d0dc1fd,ACTIVE,2020-06-11 22:23:48+00:00,2020-06-11 19:52:12+00:00,86.0,49.425489,8.679438,HEIDELBERG,111966,003WSD,1,20.0,POINT (8.679437999999999 49.425489)
6650,e9550f1a-16b5-44e0-983f-95b84aac3324,ACTIVE,2020-06-11 22:28:05+00:00,2020-06-10 19:52:40+00:00,38.0,49.503864,8.46628,MANNHEIM-LUDWIGSHAFEN,119119,807WUI,1,20.0,POINT (8.466279999999999 49.503864)
6651,9bf79d29-b88d-4184-92df-fccbb3309fde,ACTIVE,2020-06-11 22:27:47+00:00,2020-06-11 19:52:12+00:00,94.0,49.384258,8.680425,HEIDELBERG,123013,305WVI,1,20.0,POINT (8.680425 49.384258)
6652,e8b85fa9-88dd-421c-9ed2-45e9e5e472a5,ACTIVE,2020-06-11 22:27:47+00:00,2020-06-09 20:51:31+00:00,28.0,49.376218,8.674582,HEIDELBERG,114708,457WSD,1,20.0,POINT (8.674581999999999 49.376218)
